y,x,highway,ref,street_count,junction,railway,geometry
40.724504,-74.007029,,,4,,,POINT (-74.007029 40.724504)
40.721087,-73.9747151,motorway_junction,5,3,,,POINT (-73.9747151 40.721087)
40.7589831,-73.9645095,traffic_signals,,3,,,POINT (-73.9645095 40.7589831)
40.7596426,-73.9640002,traffic_signals,,4,,,POINT (-73.9640002 40.7596426)
40.7595738,-73.960551,,,3,,,POINT (-73.960551 40.7595738)
40.766876,-73.979076,traffic_signals,,3,,,POINT (-73.979076 40.766876)
40.7620775,-73.9619964,traffic_signals,,4,,,POINT (-73.9619964 40.7620775)
40.738339,-73.9738156,,,3,,,POINT (-73.9738156 40.738339)
40.7587817,-73.998505,,,3,,,POINT (-73.998505 40.7587817)
40.7593876,-73.9969538,,,3,,,POINT (-73.9969538 40.7593876)
40.7588687,-73.9992001,,,3,,,POINT (-73.9992001 40.7588687)
40.7577433,-73.9968456,traffic_signals,,4,,,POINT (-73.9968456 40.7577433)
40.7828748,-73.9437833,traffic_signals,,5,,,POINT (-73.9437833 40.7828748)
40.780311,-73.9856862,traffic_signals,,3,,,POINT (-73.9856862 40.780311)
40.7606212,-73.9643559,traffic_signals,,5,,,POINT (-73.9643559 40.7606212)
40.7944866,-73.9318124,,,3,,,POINT (-73.9318124 40.7944866)
40.793757,-73.9322765,,,3,,,POINT (-73.9322765 40.793757)
40.769641,-73.9484005,,,3,,,POINT (-73.9484005 40.769641)
40.7687032,-73.9491341,,,3,,,POINT (-73.9491341 40.7687032)
40.7794865,-73.9735934,traffic_signals,,3,,,POINT (-73.9735934 40.7794865)
40.8171783,-73.9344659,stop,,4,,,POINT (-73.9344659 40.8171783)
40.7217241,-74.0067668,motorway_junction,1,3,,,POINT (-74.0067668 40.7217241)
40.7211998,-74.0079995,motorway_junction,2,3,,,POINT (-74.0079995 40.7211998)
40.7209099,-74.0078146,motorway_junction,3,3,,,POINT (-74.0078146 40.7209099)
40.7208183,-74.0075453,motorway_junction,4,3,,,POINT (-74.0075453 40.7208183)
40.7219848,-74.0082309,traffic_signals,,4,,,POINT (-74.0082309 40.7219848)
40.7916758,-73.964694,traffic_signals,,4,,,POINT (-73.964694 40.7916758)
40.8295918,-73.9352393,,,3,,,POINT (-73.9352393 40.8295918)
40.8305218,-73.9355839,,,3,,,POINT (-73.9355839 40.8305218)
40.8304127,-73.9363638,,,3,,,POINT (-73.9363638 40.8304127)
40.7206149,-74.0084726,traffic_signals,,5,,,POINT (-74.0084726 40.7206149)
40.7244054,-74.0070994,,,3,,,POINT (-74.0070994 40.7244054)
40.7146195,-73.9768477,stop,,3,,,POINT (-73.9768477 40.7146195)
40.7593001,-73.9592658,traffic_signals,,4,,,POINT (-73.9592658 40.7593001)
40.8202619,-73.9594899,crossing,,3,,,POINT (-73.9594899 40.8202619)
